id,authors,year,journal,assets,method,best_metric,D1_cost,D1_cost_bp,D2_class_balance,D3_temporal_split,D4_validation,D5_baselines,D6_net_perf,D7_code
1,Fang et al.,2022,Financial Innovation,Survey 146 papers,Survey,N/A,Survey notes ~50% omit costs,N/A,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,No
2,Jaquart Dann Weinhardt,2021,J Finance Data Science,BTC,RF/SVM/LSTM,Acc 54.3%,No,0,Noted class imbalance issue,Yes temporal,Simple holdout,BnH,No (gross only),No
3,Gradzki et al.,2025,Financial Innovation,BTC ETH,XGBoost/LSTM,Precision 62%,Yes,10,Not addressed,Yes temporal,Walk-forward,BnH + random,Yes,Partial
4,Fieberg et al.,2025,JFQA,3244 coins,ElasticNet,SR 1.34,Yes,varies,N/A cross-section,Yes temporal,Expanding window,BnH + factors,Yes,No
5,Li et al.,2024,SSRN,BTC,12 ML models,AUC 0.82,Partial,5,Not addressed,Yes temporal,Walk-forward,BnH,Partial,No
6,Xu et al.,2022,ScienceDirect,100 cryptos,LSTM/GRU ensemble,SR 3.23,Yes,10,Not addressed,Yes temporal,Expanding window,BnH + MACD,Yes,No
7,Yang et al.,2025,Finance Research Letters,BTC,Risk-managed momentum,SR 1.42,Yes,assumed low,N/A momentum,Yes temporal,Walk-forward,BnH + naive momentum,Yes,No
8,Grobys et al.,2025,FMPM,BTC,Momentum strategies,SR varies,Partial,not specified,N/A momentum,Yes temporal,Full sample,BnH,Partial,No
9,Arian Mobarekeh Seco,2024,Knowledge-Based Systems,Synthetic,CPCV variants,PBO comparison,N/A synthetic,N/A,N/A,Yes temporal,CPCV/Bagged CPCV,Walk-forward,N/A,Yes GitHub
10,Lahmiri Bekiros,2024,arXiv/preprint,BTC,ARIMA/GARCH vs ML,Naive beats ML,No,0,Not addressed,Yes temporal,Simple holdout,ARIMA/random walk,No,No
11,Witzany,2021,Risks,Synthetic,PBO analysis,PBO bias demo,N/A,N/A,N/A,N/A,CSCV/PBO,N/A,N/A,No
12,Chen Velikov,2023,JFQA,Equities (relevant),Anomaly replication,93% decay,Yes,realistic,N/A equities,Yes temporal,Walk-forward,Factor models,Yes,No
13,Akyildirim et al.,2021,European J Op Research,8 cryptos,ML classification,Acc 65%,No,0,Not addressed,No random k-fold,5-fold CV,BnH,No,No
14,Nakano et al.,2018,JJIAM,BTC,DNN,Return 30%+,Yes,25,Not addressed,Yes temporal,Walk-forward,BnH,Yes,No
15,Huang et al.,2019,Economics Letters,BTC,Ensemble,Acc 66%,No,0,Not addressed,Yes temporal,Simple holdout,Logistic reg,No,No
16,McNally et al.,2018,ICSC,BTC,LSTM/RNN,Acc 52.8%,No,0,Not addressed,Yes temporal,Simple holdout,ARIMA,No,No
17,Patel et al.,2020,Expert Sys w/ App,BTC ETH LTC,LSTM-Attention,RMSE based,No,0,Not addressed,No random split,Random holdout,ARIMA/SVM,No,No
18,Jay et al.,2020,PLOS One,BTC,Stacked LSTM,Return 31.6%,Yes,20,Not addressed,Yes temporal,Walk-forward,BnH,Yes,Partial
19,Jiang Liang,2017,arXiv,12 cryptos,DRL (EIIE),Return 10x,Yes,25,N/A RL,Yes temporal,Walk-forward,BnH + UBAH,Yes,Yes
20,Borrageiro et al.,2022,Expert Sys w/ App,BTC,DRL (PPO),SR 1.78,Yes,10,N/A RL,Yes temporal,Walk-forward,BnH,Yes,Partial
21,Schnaubelt,2022,J Forecasting,BTC,CNN-LSTM ensemble,Return varies,Yes,50,Not addressed,Yes temporal,Walk-forward,BnH + random,Yes,No
22,Kim et al.,2024,Scientific Reports,BTC,Multi-level DQN,SR 2.74,Yes,10,N/A RL,Yes temporal,Walk-forward,BnH + single DQN,Yes,Partial
23,Chen He Tao,2021,IEEE Access,BTC,XGBoost+LSTM,Acc 64%,No,0,Not addressed,No random,Random 80/20,BnH,No,No
24,Khedr et al.,2021,Complexity,BTC,LSTM/GRU/BiLSTM,Acc 64.2%,No,0,Not addressed,Yes temporal,Simple holdout,SVM/RF,No,No
25,Livieris et al.,2020,Neural Comp App,BTC ETH LTC,CNN-LSTM,RMSE based,No,0,Not addressed,Yes temporal,Walk-forward,LSTM only,No,No
26,Mudassir et al.,2020,Expert Sys w/ App,BTC ETH XRP,RF/SVM/LR,Acc 65.3%,No,0,Not addressed,Yes temporal,Simple holdout,LR baseline,No,No
27,Saad et al.,2020,IEEE JSAC,BTC,RNN/LSTM,Acc 53%,No,0,Not addressed,Yes temporal,Simple holdout,Naive,No,No
28,Sun et al.,2020,PLOS One,BTC,SVM/RF/LSTM,Acc 62%,No,0,Not addressed,Yes temporal,Simple holdout,LR,No,No
29,Zhang Wei,2025,arXiv,BTC,Multi-head CNN,PF 1.15,Yes,assumed,N/A,Yes temporal,Walk-forward,LSTM variants,Yes,No
30,Mahmoodi et al.,2023,Int Rev Fin Analysis,BTC ETH,XGBoost/CatBoost,AUC 0.58,No,0,Not addressed,Yes temporal,Walk-forward,BnH,No,No
31,Yin Liu,2024,Scientific Reports,BTC,AI ensemble,Return 1640%,Yes,50,Not addressed,Yes temporal,Walk-forward,BnH + ML baseline,Yes,Partial
32,MDPI Info 2025,2025,Information,BTC ETH,9 models compared,MAPE 0.09%,No,0,Not addressed,Yes temporal,Walk-forward,ARIMA/baseline,No,No
